year,route_id,route_name_current,company_name_current,metric,rank,sttn_id,sttn_nm,count,route_total,share_pct,stop_on_current_route,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42002010,110,강릉-동진버스,ride,4,4201095,낙풍리입구,56,1085,5.16129,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002010,110,강릉-동진버스,ride,5,4200293,강릉역건너편,44,1085,4.0553,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002013,112,강릉-동진버스,goff,1,4201198,남대천.강릉교,366,1148,31.881533,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,goff,2,4201128,정동진역,104,1148,9.059233,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,goff,3,4200094,강릉여고,85,1148,7.404181,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,goff,4,4201121,모래시계공원,54,1148,4.703833,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,goff,5,4201196,강릉중입구,46,1148,4.006969,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,ride,1,4201199,남대천.강릉교,573,2139,26.788219,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,ride,2,4201121,모래시계공원,261,2139,12.201964,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,ride,3,4201127,정동진역,157,2139,7.339878,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,ride,4,4200293,강릉역건너편,145,2139,6.778869,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002013,112,강릉-동진버스,ride,5,4201131,하슬라아트월드,90,2139,4.207574,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002014,113,강릉-동진버스,goff,1,4200253,교보생명,211,1113,18.957772,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002014,113,강릉-동진버스,goff,2,4201198,남대천.강릉교,180,1113,16.172507,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002014,113,강릉-동진버스,goff,3,4201128,정동진역,163,1113,14.645103,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002014,113,강릉-동진버스,goff,4,4200721,강릉역,88,1113,7.906559,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002014,113,강릉-동진버스,goff,5,4201131,하슬라아트월드,67,1113,6.019766,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,7
2025,42002014,113,강릉-동진버스,ride,1,4201199,남대천.강릉교,522,2152,24.256506,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002014,113,강릉-동진버스,ride,2,4201127,정동진역,208,2152,9.665428,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002014,113,강릉-동진버스,ride,3,4201125,정동교,127,2152,5.901487,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002014,113,강릉-동진버스,ride,4,4200293,강릉역건너편,120,2152,5.576208,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002014,113,강릉-동진버스,ride,5,4201139,안인,113,2152,5.250929,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002026,205,강릉-동진버스,goff,1,4200252,신영극장,23,48,47.916667,True,2025-05-27,2025-06-03,8,공단-공단,5
2025,42002026,205,강릉-동진버스,goff,2,4200249,용강동서부시장,6,48,12.5,True,2025-05-27,2025-06-03,8,공단-공단,4
2025,42002026,205,강릉-동진버스,goff,3,4200763,입암현대아파트,5,48,10.416667,True,2025-05-27,2025-06-03,8,공단-공단,4
2025,42002026,205,강릉-동진버스,goff,4,4200764,대목아파트,3,48,6.25,True,2025-05-27,2025-06-03,8,공단-공단,3
2025,42002026,205,강릉-동진버스,goff,4,4201050,원마트,3,48,6.25,True,2025-05-27,2025-06-03,8,공단-공단,3
2025,42002026,205,강릉-동진버스,ride,1,4200245,이명사거리,33,165,20.0,True,2025-05-27,2025-06-03,8,공단-공단,5
2025,42002026,205,강릉-동진버스,ride,1,4200356,강원대학교,33,165,20.0,True,2025-05-27,2025-06-03,8,공단-공단,4
2025,42002026,205,강릉-동진버스,ride,3,4200252,신영극장,21,165,12.727273,True,2025-05-27,2025-06-03,8,공단-공단,5
2025,42002026,205,강릉-동진버스,ride,4,4201209,공단,18,165,10.909091,True,2025-05-27,2025-06-03,8,공단-공단,1
2025,42002026,205,강릉-동진버스,ride,5,4201199,남대천.강릉교,14,165,8.484848,True,2025-05-27,2025-06-03,8,공단-공단,5
2025,42002030,211,강릉-동진버스,goff,1,4200253,교보생명,70,319,21.943574,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002030,211,강릉-동진버스,goff,2,4200252,신영극장,62,319,19.435737,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002030,211,강릉-동진버스,goff,3,4201044,안목커피거리,26,319,8.15047,True,2025-05-27,2025-06-03,8,안목-안목커피거리,5
2025,42002030,211,강릉-동진버스,goff,4,4200251,한국은행,18,319,5.642633,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002030,211,강릉-동진버스,goff,5,4200107,KT,13,319,4.075235,True,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42002030,211,강릉-동진버스,ride,1,4200252,신영극장,164,832,19.711538,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002030,211,강릉-동진버스,ride,2,4200783,남산초교,76,832,9.134615,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002030,211,강릉-동진버스,ride,3,4200253,교보생명,62,832,7.451923,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002030,211,강릉-동진버스,ride,4,4200773,노암대림아파트,41,832,4.927885,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002030,211,강릉-동진버스,ride,4,4200790,노암한라아파트,41,832,4.927885,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,goff,1,4200253,교보생명,443,2084,21.257198,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,goff,2,4200252,신영극장,432,2084,20.729367,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,goff,3,4200063,가톨릭관동대학교,137,2084,6.573896,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,goff,4,4201044,안목커피거리,102,2084,4.894434,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,goff,5,4200251,한국은행,99,2084,4.75048,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,ride,1,4200063,가톨릭관동대학교,659,4207,15.664369,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,ride,2,4200252,신영극장,658,4207,15.640599,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,ride,3,4200253,교보생명,407,4207,9.674352,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,ride,4,4200106,KT,226,4207,5.371999,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,ride,5,4200251,한국은행,213,4207,5.06299,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
