route_id,route_name,company_name,start_stop_name,end_stop_name,stop_visits,geometry_points,retrieved_at,source_url
42002119,946,강릉-동진버스,KTX공영주차장환승장,KTX공영주차장환승장,17,669,2026-09-25T06:23:47.679960+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002119
42002120,947,강릉-동진버스,KTX공영주차장환승장,산북,20,610,2026-09-25T06:23:48.435264+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002120
42002140,948 (운행 폐지),강릉-동진버스,우미린아파트,유천동,5,57,2026-09-25T06:23:48.831780+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002140
42002133,951,강릉-동진버스,남대천.강릉교,송담서원,21,668,2026-09-25T06:23:49.626468+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002133
42002121,952,강릉-동진버스,남대천.강릉교,송담서원,21,661,2026-09-25T06:23:50.385733+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002121
42002123,953,강릉-동진버스,남대천.강릉교,임곡,36,1143,2026-09-25T06:23:51.512364+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002123
42002124,954,강릉-동진버스,남대천.강릉교,공군부대후문,13,471,2026-09-25T06:23:52.157220+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002124
42002126,956 (운행 폐지),강릉-동진버스,강동무료주차장,오리동,3,80,2026-09-25T06:23:52.510632+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002126
42002128,957,강릉-동진버스,강동무료주차장,옥계현내시장,20,647,2026-09-25T06:23:53.274480+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002128
42002129,957-1,강릉-동진버스,강동무료주차장,피내,10,413,2026-09-25T06:23:53.785437+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002129
42002099,961 (운행 폐지),강릉-동진버스,옥계현내시장,남양2리경로당,26,458,2026-09-25T06:23:54.638585+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002099
42091017,961-1,강릉-동해상사,옥계현내시장,남양2리경로당,36,560,2026-09-25T06:23:55.651995+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091017
42002100,962 (운행 폐지),강릉-동진버스,옥계현내시장,산계리종점,27,773,2026-09-25T06:23:56.511865+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002100
42091018,962-1,강릉-동해상사,산계리종점,노봉차고지(미정차),39,598,2026-09-25T06:23:57.659965+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091018
42092101,963,강릉-동해상사,옥계현내시장,북동리종점,32,709,2026-09-25T06:23:58.672577+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092101
42002101,963 (운행 폐지),강릉-동진버스,옥계현내시장,북동리종점,32,709,2026-09-25T06:23:59.619247+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002101
42092102,964,강릉-동해상사,옥계현내시장,금진해양파출소,20,385,2026-09-25T06:24:00.361452+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092102
42002102,964 (운행 폐지),강릉-동진버스,옥계현내시장,금진해양파출소,20,385,2026-09-25T06:24:01.080042+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002102
42002147,965,강릉-동진버스,강릉역건너편,옥계현내시장,9,447,2026-09-25T06:24:01.531752+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002147
42002146,971,강릉-동진버스,덕현리마을회관,구정면사무소,43,807,2026-09-25T06:24:02.767612+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002146
42002154,에듀라인1,강릉-동진버스,공단,문성고등학교,22,178,2026-09-25T06:24:03.517973+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002154
42002155,에듀라인2,강릉-동진버스,선수촌8단지,강릉고정문,23,159,2026-09-25T06:24:04.276329+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002155
42092155,에듀라인2,강릉-동해상사,선수촌8단지,강릉고정문,23,159,2026-09-25T06:24:05.043582+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092155
42092156,에듀라인3,강릉-동해상사,강릉역건너편,강릉역,25,242,2026-09-25T06:24:05.824770+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092156
42002157,에듀라인4,강릉-동진버스,가톨릭관동대학교,안목커피거리,37,245,2026-09-25T06:24:06.841579+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002157
