year,route_id,route_name_current,company_name_current,route_in_current_bis,identified_stop_count,ride_total,goff_total,unknown_stop_ride,unknown_stop_goff,top_ride_stop_ids,top_ride_stop_names,top_ride_count_each,top_goff_stop_ids,top_goff_stop_names,top_goff_count_each
2025,42002038,227,강릉-동진버스,True,60,391603,172126,2,0,4200253,교보생명,51271,4200252,신영극장,31880
2025,42002040,228,강릉-동진버스,True,43,197176,93697,1,0,4200543,미디어촌5단지,24059,4200252,신영극장,19874
2025,42002042,230,강릉-동진버스,True,57,44912,22350,1,0,4200252,신영극장,6033,4200252,신영극장,5835
2025,42002043,230-1,강릉-동진버스,True,60,108768,55076,1,0,4200253,교보생명,12042,4200252,신영극장,10868
2025,42002061,504 (운행 폐지),강릉-동진버스,True,36,89,43,0,0,4200252,신영극장,17,4200253,교보생명,12
2025,42002072,202-1,강릉-동진버스,True,43,235290,156357,5,0,4200252,신영극장,50506,4200252,신영극장,30151
2025,42002078,211-1,강릉-동진버스,True,62,37145,17085,0,0,4200252,신영극장,4554,4200252,신영극장,5166
2025,42002080,,,False,19,2538,364,0,0,4200762,입암현대아파트,459,4200257,옥천119안전센터,154
2025,42002083,,,False,23,2519,133,0,0,4200543,미디어촌5단지,622,4200547,e-편한세상아파트,39
2025,42002084,224-1,강릉-동진버스,True,45,4169,929,0,0,4201043,안목,986,4200751,금호어울림정문,232
2025,42002085,220,강릉-동진버스,True,66,362668,156092,4,0,4200252,신영극장,49287,4200252,신영극장,36434
2025,42002086,225,강릉-동진버스,True,45,10860,5880,0,0,4200253,교보생명,3115,4200253,교보생명,895
2025,42002087,225-1,강릉-동진버스,True,41,8317,4981,0,0,4200252,신영극장,1428,4200252,신영극장,1393
2025,42002089,223-1,강릉-동진버스,True,30,284640,159700,5,0,4200063,가톨릭관동대학교,74676,4200252,신영극장,51463
2025,42002090,300-2,강릉-동진버스,True,52,432363,221986,1,0,4200252,신영극장,31888,4200252,신영극장,81055
2025,42002091,302-2,강릉-동진버스,True,66,111279,53100,2,0,4200252,신영극장,15145,4200252,신영극장,17718
