sttn_id,sttn_nm,longitude,latitude,coordinate_source,coordinate_retrieved_at,bis_api_name,in_analysis_bbox,annual_2025_ride_nope,annual_2025_goff_nope,annual_record_present,danoje_start,danoje_end,danoje_ride_nope,danoje_goff_nope,danoje_days_with_record,danoje_days_supplied
4200469,참샘,128.79799114449304,37.90957457625894,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,참샘,False,288,47,True,2025-05-27,2025-06-03,8,7,4,8
4200638,천주교회,128.91475255178224,37.69917256372598,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,천주교회,False,1,1,True,2025-05-27,2025-06-03,,,0,8
4200637,천주교회,128.9146583268783,37.69918070112344,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,천주교회,False,737,141,True,2025-05-27,2025-06-03,20,4,7,8
4201070,철길건널목앞,128.9484470278131,37.73765389539244,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,철길건널목앞,True,398,36,True,2025-05-27,2025-06-03,15,3,7,8
4201071,철길건널목앞,128.94850270661007,37.73757538406423,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,철길건널목앞,True,4,168,True,2025-05-27,2025-06-03,0,6,6,8
4200219,청솔공원,128.84744835859598,37.832296445829655,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,청솔공원,False,3454,748,True,2025-05-27,2025-06-03,91,24,8,8
4200314,청솔공원,128.84780404863866,37.83218520189828,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,청솔공원,False,854,694,True,2025-05-27,2025-06-03,26,15,8,8
4201234,초당분수공원,128.92421540479356,37.78614360918137,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,초당분수공원,True,1527,12949,True,2025-05-27,2025-06-03,28,355,8,8
4201233,초당분수공원,128.9221385517862,37.785996929695614,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,초당분수공원,True,21223,5933,True,2025-05-27,2025-06-03,618,148,8,8
4200617,초당순두부마을,128.91553146572582,37.791098464762065,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,초당순두부마을,True,172,4090,True,2025-05-27,2025-06-03,7,78,8,8
4200616,초당순두부마을,128.91545728509436,37.791144787216254,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,초당순두부마을,True,1781,50,True,2025-05-27,2025-06-03,29,0,7,8
4202175,큰방파제,128.83179865169402,37.89485760516111,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,큰방파제,False,2,38,True,2025-05-27,2025-06-03,,,0,8
4200947,탑동교,128.84609145028975,37.66009383864923,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,탑동교,False,1418,30,True,2025-05-27,2025-06-03,38,1,8,8
4200948,탑동교,128.84599983023696,37.66005118972853,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,탑동교,False,15,505,True,2025-05-27,2025-06-03,1,16,6,8
4200119,터미널오거리,128.88381140539954,37.755579088211434,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,터미널오거리,True,31650,4042,True,2025-05-27,2025-06-03,820,94,8,8
4200118,터미널오거리,128.8840640923818,37.75608209292866,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,터미널오거리,True,10260,14188,True,2025-05-27,2025-06-03,241,432,8,8
4200175,퇴곡,128.75248295369062,37.85110547320165,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,퇴곡,False,210,2,True,2025-05-27,2025-06-03,4,0,3,8
4200174,퇴곡,128.75226108332112,37.851299039517386,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,퇴곡,False,9,179,True,2025-05-27,2025-06-03,0,1,1,8
4200329,퇴곡1리경로당,128.74128473074444,37.849334595953835,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,퇴곡1리경로당,False,1685,24,True,2025-05-27,2025-06-03,51,0,8,8
4200330,퇴곡1리경로당,128.7415928535256,37.84950756791581,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,퇴곡1리경로당,False,37,807,True,2025-05-27,2025-06-03,1,19,7,8
4200173,퇴곡2리,128.71633081209328,37.84807753595964,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,퇴곡2리,False,1,13,True,2025-05-27,2025-06-03,0,1,1,8
4200032,퇴곡2리,128.71714904545294,37.84816614353958,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,퇴곡2리,False,207,3,True,2025-05-27,2025-06-03,6,0,5,8
4200015,퇴곡2리마을회관,128.72561567385543,37.84863292575607,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,퇴곡2리마을회관,False,,,False,2025-05-27,2025-06-03,,,0,8
4201200,파란바다지역아동센터,128.82465599155947,37.88451042268901,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,파란바다지역아동센터,False,232,243,True,2025-05-27,2025-06-03,4,1,4,8
4201146,파란바다지역아동센터,128.8248619925949,37.88456697851607,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,파란바다지역아동센터,False,43,1103,True,2025-05-27,2025-06-03,0,25,6,8
4200529,판교2리마을회관,128.84660458171092,37.84287891189836,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,판교2리마을회관,False,40,1,True,2025-05-27,2025-06-03,,,0,8
4200391,판교리,128.86009464856716,37.83346652558502,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,판교리,False,13,62,True,2025-05-27,2025-06-03,0,3,2,8
4200389,판교리,128.8629774027657,37.834258791663885,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,판교리,False,46,10,True,2025-05-27,2025-06-03,5,0,4,8
4200733,평안의집,128.90510785537055,37.74063841474535,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,평안의집,True,272,51,True,2025-05-27,2025-06-03,11,0,7,8
4200734,평안의집,128.90504736881275,37.740698188102115,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,평안의집,True,15,140,True,2025-05-27,2025-06-03,2,2,2,8
4200921,평촌,128.84963218200156,37.552631723106046,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,평촌,False,30,1,True,2025-05-27,2025-06-03,1,0,1,8
4200922,평촌,128.84954094616108,37.55267396579829,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,평촌,False,3,35,True,2025-05-27,2025-06-03,0,1,1,8
4201236,포남2주공입구,128.91810027987142,37.77873395771816,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,포남2주공입구,True,1816,8762,True,2025-05-27,2025-06-03,42,221,8,8
4201220,포남2주공입구,128.9179885478381,37.77901498558293,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,포남2주공입구,True,20983,968,True,2025-05-27,2025-06-03,595,25,8,8
4200318,포남시장,128.90766061502285,37.76392281820552,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,포남시장,True,41836,6709,True,2025-05-27,2025-06-03,1119,132,8,8
4200084,풋살경기장옆,128.87680703199706,37.77165010517057,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,풋살경기장옆,True,5864,120,True,2025-05-27,2025-06-03,128,2,8,8
4200806,프라자약국,128.87901214606964,37.728760157474696,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,프라자약국,False,292,57,True,2025-05-27,2025-06-03,12,1,6,8
4200805,프라자약국,128.8789292364003,37.728699480498165,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,프라자약국,False,42,108,True,2025-05-27,2025-06-03,2,2,3,8
4201091,피내,129.0067163489339,37.64587762691358,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,피내,False,20,54,True,2025-05-27,2025-06-03,,,0,8
4201090,피내,129.00674352158242,37.645808828332775,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,피내,False,246,2,True,2025-05-27,2025-06-03,3,0,2,8
4200359,하나로마트내곡점,128.88026417146904,37.7410809708167,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하나로마트내곡점,True,38821,393,True,2025-05-27,2025-06-03,990,16,8,8
4200360,하나로마트내곡점,128.88016921110417,37.740597240336115,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하나로마트내곡점,True,507,11332,True,2025-05-27,2025-06-03,16,231,8,8
4201315,하반암,128.98110553425494,37.584185619903295,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하반암,False,102,2,True,2025-05-27,2025-06-03,3,0,3,8
4201314,하반암,128.98089810223846,37.584168867911764,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하반암,False,1,2,True,2025-05-27,2025-06-03,,,0,8
4201132,하슬라아트월드,129.01185439171851,37.70733375846832,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하슬라아트월드,False,1923,2697,True,2025-05-27,2025-06-03,75,86,8,8
4201131,하슬라아트월드,129.0118479436692,37.70752248078149,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하슬라아트월드,False,5291,2861,True,2025-05-27,2025-06-03,180,97,8,8
4200110,하슬라중,128.90715554439282,37.77053362559672,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하슬라중,True,30061,3805,True,2025-05-27,2025-06-03,962,95,8,8
4200111,하슬라중,128.90761293140218,37.77043125987649,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하슬라중,True,12224,8822,True,2025-05-27,2025-06-03,301,259,8,8
4201063,하시동3리3반,128.96021404883618,37.74070043268972,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하시동3리3반,False,4,26,True,2025-05-27,2025-06-03,0,3,3,8
4201069,하시동3리3반,128.96017032919647,37.7406590489229,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하시동3리3반,False,232,1,True,2025-05-27,2025-06-03,6,1,4,8
4201065,하시동3리마을회관,128.95566357584553,37.73740461978908,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하시동3리마을회관,False,9,45,True,2025-05-27,2025-06-03,,,0,8
4200028,하시동3리마을회관,128.95568079152127,37.73745764026289,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하시동3리마을회관,False,2028,16,True,2025-05-27,2025-06-03,57,0,8,8
4201182,하시동입구,128.94045988509035,37.73612720331248,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하시동입구,True,63,78,True,2025-05-27,2025-06-03,3,0,3,8
4201181,하시동입구,128.94066964706647,37.73622577281252,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하시동입구,True,237,6,True,2025-05-27,2025-06-03,6,2,5,8
4200131,하이빌현대아파트,128.8824547932286,37.764860822549025,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하이빌현대아파트,True,4361,5419,True,2025-05-27,2025-06-03,106,150,8,8
4200669,하이샤시,128.91728256074563,37.71407658570209,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하이샤시,False,418,3,True,2025-05-27,2025-06-03,13,0,7,8
4200670,하이샤시,128.91718137940222,37.71406745689133,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하이샤시,False,0,45,True,2025-05-27,2025-06-03,,,0,8
4200387,하평리,128.86670662673083,37.834355194382326,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하평리,False,15,183,True,2025-05-27,2025-06-03,0,4,3,8
4200386,하평리,128.86662078612576,37.834407329862614,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하평리,False,91,2,True,2025-05-27,2025-06-03,3,0,2,8
4200008,하평리,128.87213896973955,37.836286638716444,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,하평리,False,1257,89,True,2025-05-27,2025-06-03,34,2,8,8
4200228,학고개,128.8599242703853,37.80596957371411,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,학고개,True,3292,195,True,2025-05-27,2025-06-03,74,10,8,8
4200227,학고개,128.86104076560957,37.80452897124611,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,학고개,True,895,1186,True,2025-05-27,2025-06-03,16,29,8,8
4200718,학마을앞,128.88924569543022,37.716217165702425,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,학마을앞,False,5,2,True,2025-05-27,2025-06-03,0,1,1,8
