edge_id,dsi,width,rclass,btw,d_center,length,aadt_hat
1127,1.3021,6.0,4.0,0.0012874870734229577,804.2320258609307,49.99626774021608,28053.759037684973
1128,1.6259,6.0,4.0,0.001331178903826267,1016.1051564675353,55.05214844033472,25091.314349023298
1129,1.7063,6.0,4.0,0.0002952430196483971,1044.1356236498648,34.97062066539243,24867.355768696474
1130,1.7062,6.0,4.0,0.00011840744570837644,1055.7690351751507,69.742210115871,24796.57528215784
1131,1.7722,6.0,4.0,0.004519312306101345,915.2608328589595,45.07197746015078,26287.927504269064
1132,1.7224,6.0,4.0,0.0006920372285418822,947.3032901118348,44.943389526596434,25989.647313385438
1133,1.8557,6.0,4.0,0.0014971561530506723,969.5475344883695,19.982810376071654,25650.806038265353
1134,1.7242,6.0,4.0,0.001327042399172699,993.445875088049,40.05619642485841,25362.825424716444
1135,1.8527,6.0,4.0,0.0020111168562564636,1019.8101665306857,29.958164355994775,25020.292807519163
1136,1.6091,6.0,4.0,0.003316184074457084,1041.1637626448612,20.04639511256453,24741.2872693295
1137,1.6115,8.0,4.0,0.006236673874212655,889.2622267203222,50.03892143725658,27279.303021515247
1138,1.7238,8.0,4.0,0.0007805928990003447,915.3863367259787,25.042836682221473,27054.564008743517
1139,1.8308,8.0,4.0,0.00027456049638055843,933.393728325467,20.009501000990454,26879.091655383283
1140,1.6647,8.0,4.0,0.001742157876594278,963.1840312408352,54.937205069981715,26349.41375080884
1141,1.7786,8.0,4.0,0.00012564632885211997,994.5290143067886,29.929810357237848,26132.435072394845
1142,1.4309,6.0,4.0,0.0017437952430196483,818.5186619027725,30.01246453763972,27796.715853327867
1146,,6.0,4.0,0.0020930713547052744,914.8383531846763,34.97435458100493,26347.672251820546
1147,1.7349,6.0,4.0,0.0005868665977249225,944.7461534769294,40.029080097438964,26034.596079307914
1148,1.6178,8.0,4.0,0.010965215756322273,1103.1693288673139,48.51050869607697,24577.64258791441
1149,1.5534,8.0,4.0,0.006776628748707343,1075.4097912105237,29.94116662913924,24910.06579125608
1150,1.5438,8.0,4.0,0.007025336091003103,1049.8074999935957,45.03847017462099,25195.515285762995
1151,1.5873,8.0,4.0,0.006656576102284479,1016.9850452626649,49.98906261544296,25583.73811729268
1152,1.5255,8.0,4.0,0.009174767321613238,979.9570240144351,60.075347594096236,26018.00575977249
1153,1.7521,8.0,4.0,0.008572905894519133,954.1544531542044,29.997374650816923,26355.94260281409
1154,1.5498,8.0,4.0,0.007347466390899691,922.8001661471432,80.0314426003115,26790.249036493315
1155,1.44,8.0,4.0,0.00730437780075836,879.3046721227561,100.00278957880238,27414.64208575817
1156,1.4333,8.0,4.0,0.009869700103412617,853.667813147774,30.024975644486698,27781.927520834986
1157,1.289,8.0,4.0,0.0010097897276801105,834.9269823889869,69.96509087867601,28248.561153283805
1158,1.3064,8.0,4.0,0.0002238366080661841,815.554018244644,40.0489815786989,28681.435098125046
1159,1.8403,5.0,4.0,0.0013588417786970011,1022.6374982044003,34.981007108056104,24713.356812747264
1160,1.7913,5.0,4.0,0.0013028610823853845,988.3268624726637,69.96928476763372,25121.64415507183
