edge_id,case,dsi,aadt,length,width,rclass,tp_dist
459,1,1.681,33765.32602739726,15.0300463483593,6.0,4.0,103.75629635969193
460,1,1.5629,33765.32602739726,24.935953934507708,6.0,4.0,126.30289907959667
461,0,1.4715,33765.32602739726,10.005670894010095,6.0,4.0,145.0402467094466
462,0,1.5481,33765.32602739726,10.040207289100492,6.0,4.0,159.4795026881416
464,0,1.7905,33765.32602739726,25.00548779940521,6.0,4.0,184.09678645645397
465,0,1.6513,33765.32602739726,34.9675343343512,6.0,4.0,217.88933724303794
467,0,1.673,33765.32602739726,19.97981257831819,6.0,4.0,251.99324625792266
468,0,1.6975,33765.32602739726,10.017147576963726,6.0,4.0,269.61813717841824
470,1,1.3953,43406.35616438357,174.7996927515445,6.0,4.0,178.1162731363499
471,0,1.3417,33765.32602739726,90.02278753903879,6.0,4.0,258.06701587094665
472,0,1.6604,33765.32602739726,39.990796968575836,6.0,4.0,208.55762041650516
473,0,1.5311,33765.32602739726,59.96172499720194,6.0,4.0,142.37941351359854
474,0,1.665,33765.32602739726,44.98942552369822,6.0,4.0,178.17119356522994
475,0,1.5387,33765.32602739726,5.023986318875419,6.0,4.0,197.79190896296893
476,0,1.7118,33765.32602739726,34.992305986956374,6.0,4.0,215.14895497265636
477,0,1.7217,33765.32602739726,44.970215715484315,6.0,4.0,249.53478421408556
478,0,1.649,33765.32602739726,34.9893402075232,6.0,4.0,279.0152495430031
479,0,1.3405,43406.35616438357,104.7774578465093,6.0,4.0,270.45783573561175
480,0,1.4986,43406.35616438357,50.00035223475468,6.0,4.0,321.77230858700085
481,0,1.2816,33765.32602739726,5.057620893465948,6.0,4.0,314.76951672066525
482,0,1.3384,33765.32602739726,35.0974437477104,6.0,4.0,300.15163880061965
483,0,1.5107,33765.32602739726,49.99421468320601,6.0,4.0,277.4950598949886
484,0,1.6477,33765.32602739726,84.99542544616548,6.0,4.0,245.04721550861885
485,0,1.6128,43406.35616438357,79.84572791921696,7.0,4.0,315.2685503966554
486,0,1.4257,33765.32602739726,79.9904251947093,7.0,4.0,358.2159779190112
487,0,1.4739,33765.32602739726,80.01409555941595,7.0,4.0,317.86404345175913
488,0,1.5578,33765.32602739726,64.77585034209515,7.0,4.0,280.3281467696209
489,0,1.6724,33765.32602739726,69.78786645204706,7.0,4.0,292.39373862781423
490,0,1.8458,33765.32602739726,29.958471807834176,7.0,4.0,279.33040010994023
492,0,1.7862,33765.32602739726,29.951828473468886,7.0,4.0,273.93087854315706
493,0,1.4878,43406.35616438357,59.92978016876512,8.0,4.0,212.55245409139104
494,0,1.5968,43406.35616438357,44.98952853307879,8.0,4.0,233.52327197407922
495,0,1.8095,43406.35616438357,40.05825293715084,8.0,4.0,256.96558334992704
496,0,1.6323,43406.35616438357,40.009627775400354,8.0,4.0,286.612829617614
497,0,1.582,43406.35616438357,14.978931506511076,8.0,4.0,310.1071405283232
498,0,1.5695,43406.35616438357,25.023994613065575,8.0,4.0,326.16422313959464
499,0,1.682,13836.471232876713,83.48137024261672,8.0,4.0,373.08090904282295
500,0,1.5171,13836.471232876713,24.92325517988911,8.0,4.0,336.1903239329247
501,0,1.4586,13836.471232876713,25.0471637526952,8.0,4.0,328.8677867573549
502,0,1.7466,13836.471232876713,59.64672648073107,8.0,4.0,309.12972482795476
503,0,1.5576,43406.35616438357,98.96778172769382,2.0,4.0,368.3464773441386
504,0,1.4465,43406.35616438357,54.1693757277563,2.0,4.0,340.571985365963
505,0,1.2645,43406.35616438357,59.90903221589683,2.0,4.0,282.10287818669235
506,0,1.3769,9002.78904109589,34.9809637403735,10.0,4.0,42.205447175825576
507,0,1.4602,9002.78904109589,40.00332305554006,10.0,4.0,71.3388883585807
509,0,1.4403,9002.78904109589,40.003359909463896,10.0,4.0,108.99521826814998
510,0,1.4266,9002.78904109589,40.003398587750304,10.0,4.0,150.6965305365315
511,0,1.365,13536.224657534249,34.991720980700336,10.0,4.0,161.4901366382189
512,0,1.4788,13536.224657534249,40.0547299441191,10.0,4.0,147.10507427516455
513,0,1.4198,13536.224657534249,30.041373422940104,10.0,4.0,143.75988177597657
514,0,1.5257,31584.86301369863,302.1989439186804,3.0,4.0,320.19303183610236
516,0,1.4616,31584.86301369863,69.93029388699514,5.0,4.0,200.50793073172647
517,0,1.5486,43406.35616438357,550.5043305003319,5.0,4.0,420.60253506489755
519,0,1.2731,28633.194520547942,24.72724442264801,4.0,4.0,365.3757984878499
522,0,1.807,28633.194520547942,29.933168518740406,4.0,4.0,262.49196299362444
524,0,1.1968,9002.78904109589,89.93429548046629,10.0,4.0,175.35263644114607
525,0,1.272,30720.39726027397,180.01349948135936,10.0,4.0,213.88306530210718
526,0,1.4349,31584.86301369863,124.7137686354595,6.0,4.0,319.89809552093055
527,0,1.3384,17097.982578397212,229.79637458066813,6.0,4.0,284.3476225782761
528,0,1.3152,22671.331506849318,139.04986970261322,3.0,4.0,497.9660605924153
529,0,1.3217,22671.331506849318,114.96141211677673,3.0,4.0,446.654119716733
531,0,1.254,43406.35616438357,293.4543310664499,6.0,4.0,292.97336205414933
532,0,1.3491,13536.224657534249,120.05128522597006,10.0,4.0,59.19824870873686
533,1,1.2402,30720.39726027397,279.95291697521367,10.0,4.0,236.20556587700395
534,1,1.383,30720.39726027397,84.97401979880114,10.0,4.0,51.17657470902202
536,1,1.295,33608.82739726028,329.9928527024296,10.0,4.0,120.99393824707823
537,0,1.4298,43406.35616438357,19.95683910986717,4.0,4.0,279.21888948829104
538,0,1.4655,43406.35616438357,184.87872833446184,4.0,4.0,348.8247810222901
539,0,1.6871,43406.35616438357,24.990906416096138,4.0,4.0,427.4242449640634
540,1,1.3492,12525.819178082193,40.020875677983156,10.0,4.0,125.13715744129662
541,0,1.3358,12525.819178082193,44.97340274918266,10.0,4.0,129.72113926399965
542,0,1.4444,12525.819178082193,44.99025706871154,10.0,4.0,149.02696926984555
