point_id,dsi_refined,dsi_veh,road_occluded_frac,road_occluded_frac_veh,veh_blocked_fwd,veh_blocked_bwd,road_domain_m2,valid,sight_flag,sight_flag_veh,confidence,veh_extra_occ,dsi_veh_delta
10314,1.9533,1.9717,0.6986,0.7145,0.0,0.049,1366.0,True,False,False,1,0.015900000000000025,0.018399999999999972
10316,1.4931,1.5565,0.2984,0.3534,0.122,0.268,729.2,True,False,False,2,0.05499999999999999,0.0633999999999999
10318,1.2421,1.261,0.0801,0.0965,0.049,0.22,518.2,True,False,False,2,0.016399999999999998,0.018899999999999917
10321,1.1809,1.1845,0.0269,0.03,0.0,0.073,475.2,True,False,False,2,0.0030999999999999986,0.0036000000000000476
10322,1.2694,1.2959,0.1038,0.1269,0.0,0.0,474.8,True,False,False,2,0.02310000000000001,0.026499999999999968
10324,1.2004,1.2098,0.0439,0.052,0.0,0.122,471.5,True,False,False,1,0.008099999999999996,0.009400000000000075
10326,1.1544,1.184,0.0038,0.0296,0.0,0.439,473.5,True,False,False,1,0.0258,0.02959999999999985
10328,1.1524,1.159,0.0021,0.0078,0.195,0.049,479.5,True,False,False,0,0.0057,0.006599999999999939
10330,1.1506,1.2617,0.0006,0.0971,0.195,0.0,502.0,True,False,False,1,0.0965,0.11109999999999998
10332,1.2816,1.4014,0.1144,0.2186,0.0,0.0,507.8,True,False,False,2,0.10419999999999999,0.1197999999999999
10334,1.179,1.4603,0.0252,0.2698,0.0,0.0,517.0,True,False,False,2,0.24459999999999998,0.2812999999999999
10337,1.15,1.1826,0.0,0.0283,0.0,0.0,511.5,True,False,False,1,0.0283,0.032600000000000184
10339,1.3686,1.3983,0.1901,0.2159,0.0,0.0,509.5,True,False,False,2,0.025800000000000017,0.02970000000000006
1033,1.3887,1.4146,0.2076,0.2301,0.195,0.0,1576.5,True,False,False,2,0.022499999999999992,0.025900000000000034
10341,1.4675,1.5681,0.2761,0.3636,0.756,0.0,515.0,True,False,False,1,0.08749999999999997,0.10060000000000002
10343,1.1545,1.281,0.0039,0.1139,0.0,0.244,504.8,True,False,False,2,0.11,0.12649999999999983
10345,1.2396,1.2676,0.0779,0.1023,0.122,0.171,491.2,True,False,False,2,0.024400000000000005,0.028000000000000025
10347,1.15,1.2081,0.0,0.0505,0.146,0.195,470.2,True,False,False,2,0.0505,0.05810000000000004
10349,1.15,1.157,0.0,0.006,0.0,0.171,454.8,True,False,False,2,0.006,0.007000000000000117
10352,1.152,1.1806,0.0017,0.0266,0.0,0.049,451.2,True,False,False,1,0.0249,0.02860000000000018
10353,1.1529,1.2867,0.0025,0.1189,0.049,0.488,454.2,True,False,False,2,0.1164,0.13379999999999992
10355,1.1709,1.3057,0.0182,0.1354,0.366,0.195,452.5,True,False,False,1,0.1172,0.13480000000000003
10358,1.15,1.2937,0.0,0.125,0.512,0.0,454.0,True,False,False,2,0.125,0.14370000000000016
10359,1.1568,1.2268,0.0059,0.0668,0.195,0.244,452.8,True,False,False,2,0.060899999999999996,0.06999999999999984
1035,1.703,1.8424,0.4809,0.6021,0.317,0.049,1534.8,True,False,False,1,0.12119999999999997,0.13939999999999997
10361,1.1673,1.3354,0.015,0.1612,0.049,0.122,449.8,True,False,False,2,0.1462,0.16809999999999992
10362,1.15,1.1955,0.0,0.0395,0.171,0.0,455.2,True,False,False,2,0.0395,0.045500000000000096
10365,1.15,1.1557,0.0,0.0049,0.0,0.0,456.5,True,False,False,2,0.0049,0.005700000000000038
10366,1.1507,1.2367,0.0006,0.0754,0.024,0.366,464.0,True,False,False,2,0.07479999999999999,0.08599999999999985
10369,1.1532,1.2415,0.0028,0.0795,0.122,0.195,487.2,True,False,False,2,0.0767,0.08830000000000005
10370,1.3955,1.4188,0.2135,0.2337,0.0,0.0,572.2,True,False,False,2,0.020199999999999996,0.0233000000000001
10372,1.415,1.4396,0.2305,0.2519,0.0,0.0,638.2,True,False,False,2,0.021400000000000002,0.024599999999999955
10374,1.4518,1.4731,0.2624,0.2809,0.073,0.0,696.8,True,False,False,2,0.01849999999999996,0.021300000000000097
10376,1.265,1.3781,0.1,0.1983,0.0,0.0,752.5,True,False,False,1,0.0983,0.1131000000000002
10379,1.4251,1.4706,0.2392,0.2788,0.0,0.317,668.0,True,False,False,2,0.039599999999999996,0.045499999999999874
1037,1.5973,1.7167,0.389,0.4928,0.61,0.0,1250.5,True,False,False,1,0.1038,0.11939999999999995
10383,1.4838,1.5379,0.2903,0.3373,0.049,0.0,570.0,True,False,False,2,0.046999999999999986,0.05410000000000004
10384,1.1866,1.2387,0.0318,0.0772,0.0,0.0,486.0,True,False,False,1,0.0454,0.05209999999999981
10385,1.6402,1.691,0.4262,0.4704,0.0,0.0,477.2,True,False,False,2,0.04419999999999996,0.050799999999999956
10386,1.1734,1.2106,0.0204,0.0527,0.268,0.0,470.0,True,False,False,1,0.032299999999999995,0.0371999999999999
10388,1.1994,1.2091,0.0429,0.0514,0.707,0.0,481.8,True,False,False,2,0.0085,0.009700000000000042
1038,1.3444,1.5054,0.169,0.3091,0.463,0.0,1044.2,True,False,False,1,0.14009999999999997,0.16100000000000003
